Instrument,SessionContext,TotalBars,DirectionalPct,DegradingPct,BalancePct,UnresolvedPct,UnknownPct,AcceptedReclaim,RejectedReclaim,FailedContinuation,PeakVolume,LateralSeed
ES,ETH,50,16.0,6.0,12.0,56.0,10.0,1,3,6,6,7
ES,ETH,100,9.0,4.0,6.0,76.0,5.0,1,11,7,6,13
ES,ETH,150,14.0,12.0,4.0,66.7,3.3,4,15,17,6,16
ES,ETH,200,11.5,10.5,3.5,72.0,2.5,6,22,22,13,20
ES,ETH,250,9.2,9.2,2.8,76.8,2.0,6,31,23,13,24
ES,ETH,300,10.3,9.7,2.3,76.0,1.7,10,34,30,14,30
ES,ETH,350,8.9,12.3,5.7,71.7,1.4,12,38,41,14,36
ES,ETH,400,8.5,13.3,5.3,71.8,1.3,14,42,48,14,43
ES,ETH,450,8.9,14.0,5.8,70.2,1.1,15,49,58,14,49
ES,ETH,500,8.4,13.4,7.6,69.6,1.0,17,56,63,14,55
ES,ETH,550,9.3,14.7,7.6,67.5,0.9,19,61,74,15,61
ES,ETH,600,8.5,16.5,7.3,66.8,0.8,23,65,82,15,66
ES,ETH,650,8.2,15.8,6.8,68.5,0.8,24,73,86,15,72
ES,ETH,700,8.1,16.4,7.0,67.7,0.7,27,78,98,15,77
ES,ETH,750,7.6,16.4,6.7,68.7,0.7,29,85,104,15,83
ES,ETH,800,7.1,15.4,6.6,70.3,0.6,29,92,104,15,90
ES,ETH,850,6.7,15.3,7.2,70.2,0.6,31,97,110,15,98
ES,ETH,900,6.4,15.3,7.3,70.3,0.6,33,105,118,15,104
ES,ETH,950,6.3,15.5,7.1,70.6,0.5,35,111,124,15,109
ES,ETH,1000,6.2,15.7,8.0,69.6,0.5,38,117,134,15,118
ES,ETH,1050,5.9,15.0,8.3,70.3,0.5,38,125,135,15,125
ES,ETH,1100,6.5,15.4,8.5,69.1,0.5,42,130,145,15,132
ES,ETH,1150,6.3,14.9,8.8,69.7,0.4,42,137,146,15,138
ES,ETH,1200,6.0,15.0,9.4,69.2,0.4,44,144,151,15,147
ES,ETH,1250,6.3,14.8,9.4,69.1,0.4,46,149,159,15,154
ES,ETH,1300,6.2,14.8,9.5,69.2,0.4,47,155,164,15,158
ES,ETH,1350,6.1,14.4,9.3,69.9,0.4,48,161,167,15,166
